Filename,ID,Weeks
Mes_LN_CD21_1.csv,CTRL,
Mes_LN_CD21_2.csv,CTRL,
Mes_LN_CD21_3.csv,CTRL,
Mes_LN_CD21_4.csv,CTRL,
Mes_LN_CD21_5.csv,175 T=0,0
Mes_LN_CD21_6.csv,210 T=0,0
Mes_LN_CD21_7.csv,211 T=0,0
Mes_LN_CD21_8.csv,176 T=2,2
Mes_LN_CD21_9.csv,227 T=2,2
Mes_LN_CD21_10.csv,228 T=2,2
Mes_LN_CD21_11.csv,215 T=4,4
Mes_LN_CD21_12.csv,216 T=4,4
Mes_LN_CD21_13.csv,119 T=6,6
Mes_LN_CD21_14.csv,120 T=6,6
Mes_LN_CD21_15.csv,225 T=6,6
Mes_LN_CD21_16.csv,154 T=8,8
Mes_LN_CD21_17.csv,155 T=8,8
Mes_LN_CD21_18.csv,115 T=10,10
Mes_LN_CD21_19.csv,116 T=10,10
Mes_LN_CD21_20.csv,158 T=10,10
Mes_LN_CD21_21.csv,125 T=12,12
Mes_LN_CD21_22.csv,141 T=12,12
Mes_LN_CD21_23.csv,169 T=12,12
Mes_LN_CD21_24.csv,126 T=14,14
Mes_LN_CD21_25.csv,142 T=14,14
Mes_LN_CD21_26.csv,170 T=14,14
Mes_LN_CD21_27.csv,351 T=2,2
Mes_LN_CD21_28.csv,383 T=2,2
Mes_LN_CD21_29.csv,395 T=2,2
Mes_LN_CD21_30.csv,354 T=4,4
Mes_LN_CD21_31.csv,367 T=4,4
Mes_LN_CD21_32.csv,368 T=4,4
Mes_LN_CD21_33.csv,355 T=6,6
Mes_LN_CD21_34.csv,369 T=6,6
Mes_LN_CD21_35.csv,371 T=6,6
Mes_LN_CD21_36.csv,334 T=8,8
Mes_LN_CD21_37.csv,335 T=8,8
Mes_LN_CD21_38.csv,394 T=8,8
Mes_LN_CD21_39.csv,372 T=10,10
Mes_LN_CD21_40.csv,378 T=10,10
Mes_LN_CD21_41.csv,379 T=10,10
Mes_LN_CD21_42.csv,352 T=12,12
Mes_LN_CD21_43.csv,384 T=12,12
Mes_LN_CD21_44.csv,285 T=14,14
Mes_LN_CD21_45.csv,306 T=14,14
Mes_LN_CD21_46.csv,307 T=14,14
Mes_LN_CD21_47.csv,CTRL,
Mes_LN_CD21_48.csv,CTRL,
Mes_LN_CD21_49.csv,CTRL,
Mes_LN_CD21_50.csv,CTRL,
