Filename,ID,Weeks
Blood_CD11b_14_Batch_2_1.csv,CTRL,
Blood_CD11b_14_Batch_2_2.csv,306 T=0,-2
Blood_CD11b_14_Batch_2_3.csv,307 T=0,-2
Blood_CD11b_14_Batch_2_4.csv,285 T=1,-2
Blood_CD11b_14_Batch_2_5.csv,306 T=1,0
Blood_CD11b_14_Batch_2_6.csv,307 T=1,0
Blood_CD11b_14_Batch_2_7.csv,285 T=2,2
Blood_CD11b_14_Batch_2_8.csv,306 T=2,2
Blood_CD11b_14_Batch_2_9.csv,307 T=2,2
Blood_CD11b_14_Batch_2_10.csv,285 T=3,4
Blood_CD11b_14_Batch_2_11.csv,306 T=3,4
Blood_CD11b_14_Batch_2_12.csv,307 T=3,4
Blood_CD11b_14_Batch_2_13.csv,285 T=4,6
Blood_CD11b_14_Batch_2_14.csv,306 T=4,6
Blood_CD11b_14_Batch_2_15.csv,307 T=4,6
Blood_CD11b_14_Batch_2_16.csv,285 T=5,8
Blood_CD11b_14_Batch_2_17.csv,306 T=5,8
Blood_CD11b_14_Batch_2_18.csv,307 T=5,8
Blood_CD11b_14_Batch_2_19.csv,285 T=6,10
Blood_CD11b_14_Batch_2_20.csv,306 T=6,10
Blood_CD11b_14_Batch_2_21.csv,307 T=6,10
Blood_CD11b_14_Batch_2_22.csv,285 T=7,12
Blood_CD11b_14_Batch_2_23.csv,306 T=7,12
Blood_CD11b_14_Batch_2_24.csv,307 T=7,12
Blood_CD11b_14_Batch_2_25.csv,285 T=8,14
Blood_CD11b_14_Batch_2_26.csv,306 T=8,14
Blood_CD11b_14_Batch_2_27.csv,307 T=8,14
Blood_CD11b_14_Batch_2_28.csv,CTRL,
Blood_CD11b_14_Batch_2_29.csv,CTRL,
Blood_CD11b_14_Batch_2_30.csv,CTRL,
