Filename,ID,Weeks
Blood_CD11b_14_Batch_1_1.csv,CTRL,
Blood_CD11b_14_Batch_1_2.csv,CTRL,
Blood_CD11b_14_Batch_1_3.csv,CTRL,
Blood_CD11b_14_Batch_1_4.csv,126 T=0,-2
Blood_CD11b_14_Batch_1_5.csv,142 T=0,-2
Blood_CD11b_14_Batch_1_6.csv,170 T=0,-2
Blood_CD11b_14_Batch_1_7.csv,126 T=1,0
Blood_CD11b_14_Batch_1_8.csv,142 T=1,0
Blood_CD11b_14_Batch_1_9.csv,170 T=1,0
Blood_CD11b_14_Batch_1_10.csv,126 T=2,2
Blood_CD11b_14_Batch_1_11.csv,142 T=2,2
Blood_CD11b_14_Batch_1_12.csv,170 T=2,2
Blood_CD11b_14_Batch_1_13.csv,126 T=3,4
Blood_CD11b_14_Batch_1_14.csv,142 T=3,4
Blood_CD11b_14_Batch_1_15.csv,170 T=3,4
Blood_CD11b_14_Batch_1_16.csv,126 T=4,6
Blood_CD11b_14_Batch_1_17.csv,142 T=4,6
Blood_CD11b_14_Batch_1_18.csv,170 T=4,6
Blood_CD11b_14_Batch_1_19.csv,126 T=5,8
Blood_CD11b_14_Batch_1_20.csv,142 T=5,8
Blood_CD11b_14_Batch_1_21.csv,170 T=5,8
Blood_CD11b_14_Batch_1_22.csv,126 T=6,10
Blood_CD11b_14_Batch_1_23.csv,142 T=6,10
Blood_CD11b_14_Batch_1_24.csv,170 T=6,10
Blood_CD11b_14_Batch_1_25.csv,126 T=7,12
Blood_CD11b_14_Batch_1_26.csv,142 T=7,12
Blood_CD11b_14_Batch_1_27.csv,170 T=7,12
Blood_CD11b_14_Batch_1_28.csv,126 T=8,14
Blood_CD11b_14_Batch_1_29.csv,142 T=8,14
Blood_CD11b_14_Batch_1_30.csv,170 T=8,14
Blood_CD11b_14_Batch_1_31.csv,CTRL,
Blood_CD11b_14_Batch_1_32.csv,CTRL,
Blood_CD11b_14_Batch_1_33.csv,CTRL,
